[     500ms] Identifier 'remainingFormatted' has already been declared
[     808ms] [WARNING] Failed to decode downloaded font: https://aromawax.eu/cdn/shop/t/29/assets/AvenirLTStd-Roman.woff2?v=151369584661543143081771850553 @ https://aromawax.eu/pt/cart:0
[     808ms] [WARNING] OTS parsing error: Size of decompressed WOFF 2.0 is less than compressed size @ https://aromawax.eu/pt/cart:0
[     809ms] [WARNING] Failed to decode downloaded font: https://aromawax.eu/cdn/shop/t/29/assets/AvenirLTStd-Roman.woff2?v=151369584661543143081771850553 @ https://aromawax.eu/pt/cart:0
[     809ms] [WARNING] OTS parsing error: Size of decompressed WOFF 2.0 is less than compressed size @ https://aromawax.eu/pt/cart:0
[     809ms] [WARNING] Failed to decode downloaded font: https://aromawax.eu/cdn/shop/t/29/assets/AvenirLTStd-Roman.woff2?v=151369584661543143081771850553 @ https://aromawax.eu/pt/cart:0
[     809ms] [WARNING] OTS parsing error: Size of decompressed WOFF 2.0 is less than compressed size @ https://aromawax.eu/pt/cart:0
[     822ms] [WARNING] Failed to decode downloaded font: https://aromawax.eu/cdn/shop/t/29/assets/AvenirLTStd-Roman.woff?v=77020652039345579431771850553 @ https://aromawax.eu/pt/cart:0
[     822ms] [WARNING] OTS parsing error: incorrect file size in WOFF header @ https://aromawax.eu/pt/cart:0
[     822ms] [WARNING] Failed to decode downloaded font: https://aromawax.eu/cdn/shop/t/29/assets/AvenirLTStd-Roman.woff?v=77020652039345579431771850553 @ https://aromawax.eu/pt/cart:0
[     822ms] [WARNING] OTS parsing error: incorrect file size in WOFF header @ https://aromawax.eu/pt/cart:0
[     822ms] [WARNING] Failed to decode downloaded font: https://aromawax.eu/cdn/shop/t/29/assets/AvenirLTStd-Roman.woff?v=77020652039345579431771850553 @ https://aromawax.eu/pt/cart:0
[     822ms] [WARNING] OTS parsing error: incorrect file size in WOFF header @ https://aromawax.eu/pt/cart:0
[     824ms] [WARNING] Failed to decode downloaded font: https://aromawax.eu/cdn/shop/t/29/assets/AvenirLTStd-Roman.ttf?v=168653738910245139531771850553 @ https://aromawax.eu/pt/cart:0
